meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
,Sonic Superstars,XONE,"Oct 17, 2023",,/game/xbox-one/sonic-superstars,E,"['Sega', ' Arzest']","['Action', 'Platformer', '2D']"
,Sonic Superstars,Switch,"Oct 17, 2023",,/game/switch/sonic-superstars,E,"['Sega', ' Arzest']","['Action', 'Platformer', '2D']"
,Samba de Amigo: Party Central,Switch,"Aug 29, 2023",,/game/switch/samba-de-amigo-party-central,E,['Sega'],"['Action', 'Rhythm', 'Music']"
,Two Point Campus: Medical School,PC,"Aug 17, 2023",,/game/pc/two-point-campus-medical-school,,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
,Two Point Campus: Medical School,Switch,"Aug 17, 2023",,/game/switch/two-point-campus-medical-school,T,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
,Two Point Campus: Medical School,PS4,"Aug 17, 2023",,/game/playstation-4/two-point-campus-medical-school,T,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
,Two Point Campus: Medical School,XONE,"Aug 17, 2023",,/game/xbox-one/two-point-campus-medical-school,,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
,Sonic Origins Plus,PS4,"Jun 23, 2023",8.8,/game/playstation-4/sonic-origins-plus,E,['Sega'],"['Miscellaneous', 'Compilation']"
,Sonic Origins Plus,PC,"Jun 23, 2023",,/game/pc/sonic-origins-plus,E,['Sega'],"['Miscellaneous', 'Compilation']"
77,Sonic Origins Plus,Switch,"Jun 23, 2023",6.4,/game/switch/sonic-origins-plus,E,['Sega'],"['Miscellaneous', 'Compilation']"
,Sonic Origins Plus,XONE,"Jun 23, 2023",,/game/xbox-one/sonic-origins-plus,E,['Sega'],"['Miscellaneous', 'Compilation']"
,Sonic Origins Plus - Expansion Pack,PC,"Jun 23, 2023",,/game/pc/sonic-origins-plus---expansion-pack,,['Sega'],"['Miscellaneous', 'Compilation']"
,Sonic Origins Plus - Expansion Pack,PS4,"Jun 23, 2023",,/game/playstation-4/sonic-origins-plus---expansion-pack,,['Sega'],"['Miscellaneous', 'Compilation']"
,Sonic Origins Plus - Expansion Pack,XONE,"Jun 23, 2023",,/game/xbox-one/sonic-origins-plus---expansion-pack,,['Sega'],"['Miscellaneous', 'Compilation']"
,Sonic Origins Plus - Expansion Pack,Switch,"Jun 23, 2023",,/game/switch/sonic-origins-plus---expansion-pack,,['Sega'],"['Miscellaneous', 'Compilation']"
,Etrian Odyssey HD,Switch,"Jun 15, 2023",,/game/switch/etrian-odyssey-hd,T,['Mutan'],"['Role-Playing', 'Japanese-Style', 'Western-Style']"
,Etrian Odyssey II HD,Switch,"Jun 15, 2023",,/game/switch/etrian-odyssey-ii-hd,T,['Mutan'],"['Role-Playing', 'Japanese-Style', 'Western-Style']"
77,Etrian Odyssey Origins Collection,Switch,"Jun 1, 2023",7.3,/game/switch/etrian-odyssey-origins-collection,T,['Atlus'],"['Miscellaneous', 'Compilation']"
,Etrian Odyssey III HD,Switch,"Jun 1, 2023",,/game/switch/etrian-odyssey-iii-hd,T,['Mutan'],"['Role-Playing', 'Japanese-Style', 'Western-Style']"
84,Etrian Odyssey Origins Collection,PC,"Jun 1, 2023",,/game/pc/etrian-odyssey-origins-collection,,['Atlus'],"['Miscellaneous', 'Compilation']"
,Etrian Odyssey HD,PC,"May 31, 2023",,/game/pc/etrian-odyssey-hd,T,['Atlus'],"['Role-Playing', 'Japanese-Style', 'Western-Style']"
,Etrian Odyssey II HD,PC,"May 31, 2023",,/game/pc/etrian-odyssey-ii-hd,T,['Atlus'],"['Role-Playing', 'Japanese-Style', 'Western-Style']"
,Etrian Odyssey III HD,PC,"May 31, 2023",,/game/pc/etrian-odyssey-iii-hd,T,['Atlus'],"['Role-Playing', 'Japanese-Style', 'Western-Style']"
83,Total War: WARHAMMER III - Forge of the Chaos Dwarfs,PC,"Apr 13, 2023",6.6,/game/pc/total-war-warhammer-iii---forge-of-the-chaos-dwarfs,,['Creative Assembly'],"['Strategy', 'Real-Time', 'Tactics']"
82,The Murder of Sonic the Hedgehog,PC,"Mar 31, 2023",8.6,/game/pc/the-murder-of-sonic-the-hedgehog,E,['Sega'],"['Adventure', 'Visual Novel']"
81,Bayonetta Origins: Cereza and the Lost Demon,Switch,"Mar 17, 2023",8.6,/game/switch/bayonetta-origins-cereza-and-the-lost-demon,T,['PlatinumGames'],"['Action Adventure', 'Linear']"
,Two Point Campus: School Spirits,Switch,"Mar 15, 2023",,/game/switch/two-point-campus-school-spirits,,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
,Two Point Campus: School Spirits,PC,"Mar 15, 2023",,/game/pc/two-point-campus-school-spirits,,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
,Two Point Campus: School Spirits,PS4,"Mar 15, 2023",,/game/playstation-4/two-point-campus-school-spirits,,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
,Two Point Campus: School Spirits,XONE,"Mar 15, 2023",,/game/xbox-one/two-point-campus-school-spirits,T,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
81,Company of Heroes 3,PC,"Feb 23, 2023",4.6,/game/pc/company-of-heroes-3,M,['Relic Entertainment'],"['Strategy', 'Real-Time', 'General']"
80,Like a Dragon: Ishin!,PS4,"Feb 21, 2023",8.7,/game/playstation-4/like-a-dragon-ishin!,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
80,Like a Dragon: Ishin!,PC,"Feb 21, 2023",7.9,/game/pc/like-a-dragon-ishin!,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
,Like a Dragon: Ishin!,XONE,"Feb 18, 2023",8.9,/game/xbox-one/like-a-dragon-ishin!,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
81,Persona 3 Portable,PC,"Jan 19, 2023",4.7,/game/pc/persona-3-portable,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
,Persona 3 Portable,XONE,"Jan 19, 2023",6.1,/game/xbox-one/persona-3-portable,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
,Persona 4 Golden,XONE,"Jan 19, 2023",9.4,/game/xbox-one/persona-4-golden,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
86,Persona 4 Golden,PS4,"Jan 19, 2023",8.8,/game/playstation-4/persona-4-golden,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
80,Persona 3 Portable,PS4,"Jan 19, 2023",6.7,/game/playstation-4/persona-3-portable,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
81,Persona 3 Portable,Switch,"Jan 19, 2023",6.7,/game/switch/persona-3-portable,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
90,Persona 4 Golden,Switch,"Jan 19, 2023",8.6,/game/switch/persona-4-golden,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
,Two Point Campus: Space Academy,Switch,"Dec 12, 2022",,/game/switch/two-point-campus-space-academy,,['Sega'],"['Strategy', 'Management', 'Business / Tycoon']"
,Two Point Campus: Space Academy,PC,"Dec 6, 2022",,/game/pc/two-point-campus-space-academy,,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
,Humankind: Together We Rule,PC,"Nov 9, 2022",,/game/pc/humankind-together-we-rule,,['Amplitude Studios'],"['Strategy', 'Turn-Based', '4X']"
69,Sonic Frontiers,Switch,"Nov 8, 2022",8.2,/game/switch/sonic-frontiers,E10+,"['Sega', ' Sonic Team']","['Action Adventure', 'General', 'Open-World', 'Action', 'Platformer', '3D']"
,Sonic Frontiers,XONE,"Nov 8, 2022",8.2,/game/xbox-one/sonic-frontiers,E10+,"['Sega', ' Sonic Team']","['Action Adventure', 'General', 'Open-World', 'Action', 'Platformer', '3D']"
75,Sonic Frontiers,PS4,"Nov 8, 2022",8.1,/game/playstation-4/sonic-frontiers,E10+,"['Sega', ' Sonic Team']","['Action Adventure', 'General', 'Open-World', 'Action', 'Platformer', '3D']"
75,Sonic Frontiers,PC,"Nov 8, 2022",8.6,/game/pc/sonic-frontiers,E10+,"['Sega', ' Sonic Team']","['Action Adventure', 'General', 'Open-World', 'Action', 'Platformer', '3D']"
81,Football Manager 2023,PC,"Nov 8, 2022",6.5,/game/pc/football-manager-2023,E,['Sports Interactive'],"['Sports', 'Team', 'Soccer', 'Management']"
,Football Manager 2023,iOS,"Nov 8, 2022",,/game/ios/football-manager-2023,,['Sports Interactive'],"['Sports', 'Team', 'Soccer', 'Management']"
,Football Manager 2023 Touch,Switch,"Nov 8, 2022",,/game/switch/football-manager-2023-touch,,['Sports Interactive'],"['Sports', 'Team', 'Soccer', 'Management']"
,Football Manager 2023 Console,XONE,"Nov 8, 2022",,/game/xbox-one/football-manager-2023-console,,['Sports Interactive'],"['Sports', 'Team', 'Soccer', 'Management']"
,Persona 5 Royal,XONE,"Oct 21, 2022",8.0,/game/xbox-one/persona-5-royal,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
95,Persona 5 Royal,PC,"Oct 21, 2022",8.5,/game/pc/persona-5-royal,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
94,Persona 5 Royal,Switch,"Oct 21, 2022",8.4,/game/switch/persona-5-royal,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
84,Lost Judgment,PC,"Sep 15, 2022",8.2,/game/pc/lost-judgment,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
84,Judgment,PC,"Sep 15, 2022",8.1,/game/pc/judgment,,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
,Phantasy Star Online 2,PS4,"Aug 31, 2022",,/game/playstation-4/phantasy-star-online-2,,['Sega'],"['Role-Playing', 'Massively Multiplayer']"
,Phantasy Star Online 2: New Genesis,PS4,"Aug 31, 2022",6.8,/game/playstation-4/phantasy-star-online-2-new-genesis,,['Sega'],"['Role-Playing', 'Massively Multiplayer']"
70,Soul Hackers 2,PC,"Aug 26, 2022",5.3,/game/pc/soul-hackers-2,M,"['Artdink', ' Atlus']","['Role-Playing', 'Japanese-Style']"
71,Soul Hackers 2,PS4,"Aug 26, 2022",5.9,/game/playstation-4/soul-hackers-2,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
,Soul Hackers 2,XONE,"Aug 26, 2022",4.3,/game/xbox-one/soul-hackers-2,M,"['Artdink', ' Atlus']","['Role-Playing', 'Japanese-Style']"
,Total War: WARHAMMER III - Champions of Chaos,PC,"Aug 22, 2022",,/game/pc/total-war-warhammer-iii---champions-of-chaos,,['Creative Assembly'],"['Strategy', 'Real-Time', 'Tactics']"
83,Two Point Campus,PC,"Aug 9, 2022",7.1,/game/pc/two-point-campus,T,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
87,Two Point Campus,Switch,"Aug 9, 2022",6.4,/game/switch/two-point-campus,T,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
,Two Point Campus,XONE,"Aug 9, 2022",,/game/xbox-one/two-point-campus,T,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
,Two Point Campus,PS4,"Aug 9, 2022",4.3,/game/playstation-4/two-point-campus,T,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
,Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles - Tengen Uzui Character Pack,Switch,"Jul 13, 2022",,/game/switch/demon-slayer-kimetsu-no-yaiba---the-hinokami-chronicles---tengen-uzui-character-pack,T,['Sega'],"['Action', 'Fighting', '3D']"
74,Sonic Origins,Switch,"Jun 23, 2022",6.8,/game/switch/sonic-origins,E,['Sega'],"['Miscellaneous', 'Compilation']"
72,Sonic Origins,PS4,"Jun 23, 2022",5.9,/game/playstation-4/sonic-origins,E,['Sega'],"['Miscellaneous', 'Compilation']"
,Sonic Origins,XONE,"Jun 23, 2022",5.1,/game/xbox-one/sonic-origins,E,['Sega'],"['Miscellaneous', 'Compilation']"
72,Sonic Origins,PC,"Jun 23, 2022",4.8,/game/pc/sonic-origins,E,['Sega'],"['Miscellaneous', 'Compilation']"
74,Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles,Switch,"Jun 10, 2022",6.6,/game/switch/demon-slayer-kimetsu-no-yaiba---the-hinokami-chronicles,T,['CyberConnect2'],"['Action', 'Fighting', '3D']"
,Virtua Fighter 5 Ultimate Showdown: TEKKEN 7 Collaboration Pack,PS4,"May 31, 2022",,/game/playstation-4/virtua-fighter-5-ultimate-showdown-tekken-7-collaboration-pack,T,['Ryu ga Gotoku Studios'],"['Action', 'Fighting', '3D']"
82,Hatsune Miku: Project Diva MegaMix+,PC,"May 26, 2022",6.5,/game/pc/hatsune-miku-project-diva-megamix+,T,['Sega AM2'],"['Action', 'Rhythm', 'Music']"
88,13 Sentinels: Aegis Rim,Switch,"Apr 12, 2022",8.9,/game/switch/13-sentinels-aegis-rim,T,['Vanillaware'],"['Adventure', 'General']"
,Sonic Dash+,iOS,"Apr 8, 2022",,/game/ios/sonic-dash+,,['Sega'],"['Action', 'Platformer', '3D']"
,Lost Judgment: The Kaito Files,PS4,"Mar 28, 2022",,/game/playstation-4/lost-judgment-the-kaito-files,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
,Lost Judgment: The Kaito Files,XONE,"Mar 28, 2022",,/game/xbox-one/lost-judgment-the-kaito-files,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
77,Persona 4 Arena Ultimax,PC,"Mar 17, 2022",4.9,/game/pc/persona-4-arena-ultimax,T,['Arc System Works'],"['Action', 'Fighting', '2D']"
,Two Point Hospital: Speedy Recovery,PC,"Mar 15, 2022",,/game/pc/two-point-hospital-speedy-recovery,,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
,Total War: WARHAMMER III - Ogre Kingdoms,PC,"Feb 24, 2022",,/game/pc/total-war-warhammer-iii---ogre-kingdoms,,['Creative Assembly'],"['Strategy', 'Real-Time', 'Tactics']"
85,Total War: WARHAMMER III,PC,"Feb 17, 2022",5.2,/game/pc/total-war-warhammer-iii,T,['Creative Assembly'],"['Strategy', 'Real-Time', 'Tactics']"
,Humankind: Cultures of Africa,PC,"Jan 20, 2022",,/game/pc/humankind-cultures-of-africa,,['Amplitude Studios'],"['Strategy', 'Turn-Based', 'General', '4X']"
,A Total War Saga: TROY - Rhesus & Memnon,PC,"Dec 14, 2021",,/game/pc/a-total-war-saga-troy---rhesus-memnon,,['Creative Assembly'],"['Strategy', 'Real-Time', 'General']"
,Virtua Fighter 5 Ultimate Showdown: Yakuza Series Collaboration Pack,PS4,"Dec 8, 2021",,/game/playstation-4/virtua-fighter-5-ultimate-showdown-yakuza-series-collaboration-pack,,['Ryu ga Gotoku Studios'],"['Action', 'Fighting', '3D']"
,Hatsune Miku: COLORFUL STAGE!,iOS,"Dec 7, 2021",7.8,/game/ios/hatsune-miku-colorful-stage!,,['Craft Egg Inc.'],"['Action', 'Rhythm', 'Music']"
85,Football Manager 2022,PC,"Nov 9, 2021",7.3,/game/pc/football-manager-2022,E,['Sports Interactive'],"['Sports', 'Team', 'Soccer', 'Management']"
,Football Manager 2022,XONE,"Nov 9, 2021",,/game/xbox-one/football-manager-2022,E,['Sports Interactive'],"['Sports', 'Team', 'Soccer', 'Management']"
,Football Manager 2022 Mobile,iOS,"Nov 9, 2021",,/game/ios/football-manager-2022-mobile,,['Sports Interactive'],"['Sports', 'Team', 'Soccer', 'Management']"
,Football Manager 2022 Touch,Switch,"Nov 8, 2021",5.7,/game/switch/football-manager-2022-touch,,['Sports Interactive'],"['Sports', 'Team', 'Soccer', 'Management']"
70,Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles,PS4,"Oct 15, 2021",6.9,/game/playstation-4/demon-slayer-kimetsu-no-yaiba---the-hinokami-chronicles,T,['CyberConnect2'],"['Action', 'Fighting', '3D']"
,Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles,PC,"Oct 15, 2021",7.3,/game/pc/demon-slayer-kimetsu-no-yaiba---the-hinokami-chronicles,T,['CyberConnect2'],"['Action', 'Fighting', '3D']"
,Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles,XONE,"Oct 13, 2021",8.5,/game/xbox-one/demon-slayer-kimetsu-no-yaiba---the-hinokami-chronicles,T,['CyberConnect2'],"['Action', 'Fighting', '3D']"
76,Super Monkey Ball: Banana Mania,Switch,"Oct 5, 2021",7.3,/game/switch/super-monkey-ball-banana-mania,E10+,['Sega'],"['Party / Minigame', 'Miscellaneous', 'Compilation']"
,Super Monkey Ball: Banana Mania,PC,"Oct 5, 2021",6.5,/game/pc/super-monkey-ball-banana-mania,E10+,['Sega'],"['Miscellaneous', 'Compilation']"
78,Super Monkey Ball: Banana Mania,PS4,"Oct 5, 2021",5.4,/game/playstation-4/super-monkey-ball-banana-mania,E10+,['Sega'],"['Miscellaneous', 'Compilation']"
,Super Monkey Ball: Banana Mania,XONE,"Oct 2, 2021",7.0,/game/xbox-one/super-monkey-ball-banana-mania,E10+,['Sega'],"['Miscellaneous', 'Compilation']"
83,Lost Judgment,PS4,"Sep 21, 2021",8.4,/game/playstation-4/lost-judgment,M,"['Sega', ' Ryu ga Gotoku Studios']","['Action Adventure', 'Open-World']"
,Lost Judgment,XONE,"Sep 21, 2021",5.5,/game/xbox-one/lost-judgment,M,"['Sega', ' Ryu ga Gotoku Studios']","['Action Adventure', 'Open-World']"
74,Sonic Colors: Ultimate,XONE,"Sep 7, 2021",6.8,/game/xbox-one/sonic-colors-ultimate,E,"['Sega', ' Blind Squirrel Entertainment']","['Action', 'Platformer', '2D', '3D']"
67,Sonic Colors: Ultimate,Switch,"Sep 7, 2021",5.3,/game/switch/sonic-colors-ultimate,E,"['Sega', ' Blind Squirrel Entertainment']","['Action', 'Platformer', '2D', '3D']"
74,Sonic Colors: Ultimate,PS4,"Sep 7, 2021",6.5,/game/playstation-4/sonic-colors-ultimate,E,"['Sega', ' Blind Squirrel Entertainment']","['Action', 'Platformer', '2D', '3D']"
,Sonic Colors: Ultimate,PC,"Sep 7, 2021",5.7,/game/pc/sonic-colors-ultimate,E,['Sega'],"['Action', 'Platformer', '2D', '3D']"
,A Total War Saga: TROY - Mythos,PC,"Sep 2, 2021",,/game/pc/a-total-war-saga-troy---mythos,,['Creative Assembly'],"['Strategy', 'Real-Time', 'General']"
77,Humankind,PC,"Aug 17, 2021",6.7,/game/pc/humankind,E10+,['Amplitude Studios'],"['Strategy', 'Turn-Based', 'General', '4X']"
84,Total War: WARHAMMER II - The Silence & The Fury,PC,"Jul 14, 2021",7.8,/game/pc/total-war-warhammer-ii---the-silence-the-fury,,['Creative Assembly'],"['Strategy', 'Real-Time', 'Tactics']"
69,Olympic Games Tokyo 2020: The Official Video Game,PS4,"Jun 22, 2021",4.8,/game/playstation-4/olympic-games-tokyo-2020-the-official-video-game,E10+,['Sega'],"['Sports', 'Individual', 'Athletics']"
67,Olympic Games Tokyo 2020: The Official Video Game,Switch,"Jun 22, 2021",6.4,/game/switch/olympic-games-tokyo-2020-the-official-video-game,E10+,['Sega'],"['Sports', 'Individual', 'Athletics']"
56,Olympic Games Tokyo 2020: The Official Video Game,PC,"Jun 22, 2021",4.8,/game/pc/olympic-games-tokyo-2020-the-official-video-game,E10+,['Sega'],"['Sports', 'Individual', 'Athletics']"
66,Olympic Games Tokyo 2020: The Official Video Game,XONE,"Jun 22, 2021",5.4,/game/xbox-one/olympic-games-tokyo-2020-the-official-video-game,,['Sega'],"['Sports', 'Individual', 'Athletics']"
,Phantasy Star Online 2: New Genesis,PC,"Jun 9, 2021",2.9,/game/pc/phantasy-star-online-2-new-genesis,,['Sega'],"['Role-Playing', 'Massively Multiplayer']"
,Phantasy Star Online 2: New Genesis,XONE,"Jun 9, 2021",,/game/xbox-one/phantasy-star-online-2-new-genesis,,['Sega'],"['Role-Playing', 'Massively Multiplayer']"
77,Virtua Fighter 5 Ultimate Showdown,PS4,"Jun 1, 2021",6.6,/game/playstation-4/virtua-fighter-5-ultimate-showdown,T,"['Sega', ' Ryu ga Gotoku Studios']","['Action', 'Fighting', '3D']"
,Virtua Fighter 5 Ultimate Showdown: Legendary Pack,PS4,"Jun 1, 2021",,/game/playstation-4/virtua-fighter-5-ultimate-showdown-legendary-pack,T,['Ryu ga Gotoku Studios'],"['Action', 'Fighting', '3D']"
,Monster World IV,PS4,"May 28, 2021",,/game/playstation-4/monster-world-iv,E,['West One'],"['Action', 'Platformer', '2D']"
75,Shin Megami Tensei III: Nocturne HD Remaster,Switch,"May 25, 2021",8.1,/game/switch/shin-megami-tensei-iii-nocturne-hd-remaster,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
79,Shin Megami Tensei III: Nocturne HD Remaster,PC,"May 25, 2021",7.5,/game/pc/shin-megami-tensei-iii-nocturne-hd-remaster,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
76,Shin Megami Tensei III: Nocturne HD Remaster,PS4,"May 24, 2021",7.7,/game/playstation-4/shin-megami-tensei-iii-nocturne-hd-remaster,M,"['Atlus Co.', ' Atlus']","['Role-Playing', 'Japanese-Style']"
75,Total War: Rome Remastered,PC,"Apr 29, 2021",5.5,/game/pc/total-war-rome-remastered,T,['Feral Interactive'],"['Strategy', 'Real-Time', 'General']"
,Judgment,XONE,"Apr 23, 2021",8.0,/game/xbox-one/judgment,,['Sega'],"['Action Adventure', 'Open-World']"
87,Yakuza 6: The Song of Life,XONE,"Mar 25, 2021",7.3,/game/xbox-one/yakuza-6-the-song-of-life,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
82,Yakuza 6: The Song of Life,PC,"Mar 25, 2021",7.7,/game/pc/yakuza-6-the-song-of-life,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
,Puyo Puyo Tetris 2,PC,"Mar 23, 2021",8.8,/game/pc/puyo-puyo-tetris-2,E10+,['Sega'],"['Puzzle', 'Matching']"
78,Total War: Three Kingdoms - Fates Divided,PC,"Mar 11, 2021",7.0,/game/pc/total-war-three-kingdoms---fates-divided,,['Creative Assembly'],"['Strategy', 'Real-Time', 'General']"
85,Two Point Hospital: JUMBO Edition,Switch,"Mar 5, 2021",,/game/switch/two-point-hospital-jumbo-edition,E10+,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
,Two Point Hospital: JUMBO Edition,XONE,"Mar 5, 2021",,/game/xbox-one/two-point-hospital-jumbo-edition,E10+,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
,Two Point Hospital: JUMBO Edition,PS4,"Mar 5, 2021",,/game/playstation-4/two-point-hospital-jumbo-edition,E10+,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
81,Persona 5 Strikers,Switch,"Feb 23, 2021",8.4,/game/switch/persona-5-strikers,M,"['Omega Force', ' P-Studio']","['Role-Playing', 'Action RPG']"
,Two Point Hospital: A Stitch in Time,PC,"Feb 23, 2021",,/game/pc/two-point-hospital-a-stitch-in-time,,['Two Point Studios'],"['Strategy', 'Management', 'Business / Tycoon']"
83,Persona 5 Strikers,PS4,"Feb 19, 2021",8.0,/game/playstation-4/persona-5-strikers,M,['Omega Force'],"['Role-Playing', 'Action RPG']"
81,The Yakuza Remastered Collection,XONE,"Jan 28, 2021",8.3,/game/xbox-one/the-yakuza-remastered-collection,M,['Ryu ga Gotoku Studios'],"['Miscellaneous', 'Compilation']"
87,The Yakuza Remastered Collection,PC,"Jan 28, 2021",8.2,/game/pc/the-yakuza-remastered-collection,,"['Ryu ga Gotoku Studios', ' QLOC']","['Miscellaneous', 'Compilation']"
,Yakuza 3 Remastered,XONE,"Jan 28, 2021",6.7,/game/xbox-one/yakuza-3-remastered,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
,Yakuza 4 Remastered,XONE,"Jan 28, 2021",7.5,/game/xbox-one/yakuza-4-remastered,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
,Yakuza 5 Remastered,XONE,"Jan 28, 2021",7.8,/game/xbox-one/yakuza-5-remastered,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
,Yakuza 3 Remastered,PC,"Jan 28, 2021",6.7,/game/pc/yakuza-3-remastered,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
,Yakuza 4 Remastered,PC,"Jan 28, 2021",7.1,/game/pc/yakuza-4-remastered,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
,Yakuza 5 Remastered,PC,"Jan 28, 2021",6.8,/game/pc/yakuza-5-remastered,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
,A Total War Saga: TROY - Ajax & Diomedes Faction Pack,PC,"Jan 28, 2021",,/game/pc/a-total-war-saga-troy---ajax-diomedes-faction-pack,,['Creative Assembly'],"['Strategy', 'Real-Time', 'General']"
,The King of Fighters XIV: Ultimate Edition,PS4,"Jan 20, 2021",,/game/playstation-4/the-king-of-fighters-xiv-ultimate-edition,T,['SNK Corporation'],"['Action', 'Fighting', '2D']"
73,Football Manager 2021 Touch,Switch,"Dec 14, 2020",5.4,/game/switch/football-manager-2021-touch,,['Sports Interactive'],"['Action', 'Sports', 'General', 'Team', 'Soccer', 'Management']"
,Panzer Dragoon,XONE,"Dec 11, 2020",6.3,/game/xbox-one/panzer-dragoon,,"['Forever Entertainment', ' MegaPixel Studio']","['Action', 'Shooter', 'Rail']"
